health_care_index,crime_index,pollution_index,traffic_index,quality_of_life_index,groceries_index,safety_index,city,state,rent_index,property_price_to_income_ratio
,22.058823529411764,,,,,77.94117647058823,Mansfield, TX,,
,,,,,,,Ridley Park, PA,,
,,,,,,,Sylva, NC,,
,,,,,62.11355425111476,,Superior, WI,28.83773707455779,
,13.235294117647058,,,,,86.76470588235294,South Yarmouth, MA,,
,,,,,79.4190690332042,,Stillwater, MN,25.622379630704657,
47.22222222222222,80.88235294117646,24.137931034482758,88.33792637694663,,76.98242292894162,19.11764705882353,Greeley, CO,42.759788229019094,
,,,,,,,Lyons, IL,,
